Url,Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158798000010680&slink=5p50kl&f1=1,33,1,7,"град София, Стрелбище",2006,1-СТАЕН,Тухла,48900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158883929366080&slink=5p50kl&f1=1,33,1,5,"град София, Студентски град",2022,1-СТАЕН,Тухла,26480
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158944252178275&slink=5p50kl&f1=1,33,1,5,"град София, Студентски град",2020,1-СТАЕН,Тухла,29700
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159230263378196&slink=5p50kl&f1=1,33,4,7,"град София, Студентски град",2020,1-СТАЕН,Тухла,39100
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158894573573995&slink=5p50kl&f1=1,33,3,6,"град София, Студентски град",2020,1-СТАЕН,Тухла,39100
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159118627125689&slink=5p50kl&f1=1,33,10,14,"град София, Сухата река",1980,1-СТАЕН,ЕПК,51000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159224331675496&slink=5p50kl&f1=1,33,0,0,"град София, Център",0,1-СТАЕН,Тухла,43000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154263190709725&slink=5p50kl&f1=1,33,0,0,"град София, Център",2006,1-СТАЕН,Тухла,45000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159134470345111&slink=5p50kl&f1=1,33,2,6,"град София, Център",2010,1-СТАЕН,Тухла,65999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h157881872759704&slink=5p50kl&f1=1,33,1,1,"град София, Гео Милев",2000,"АТЕЛИЕ, ТАВАН",Тухла,26400
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h159145850015023&slink=5p50kl&f1=1,33,1,6,"град София, Център",2008,"АТЕЛИЕ, ТАВАН",Тухла,66000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157495105491222&slink=5p50ks&f1=1,34,2,5,"град София, Малинова долина",0,1-СТАЕН,Тухла,35000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158350151707519&slink=5p50ks&f1=1,34,3,9,"град София, Връбница 1",2020,1-СТАЕН,Тухла,43900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157625084943679&slink=5p50ks&f1=1,34,1,8,"град София, Изгрев",1980,1-СТАЕН,ЕПК,64760
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157547440733966&slink=5p50ks&f1=1,34,1,8,"град София, Изгрев",1975,1-СТАЕН,Тухла,64800
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157566357977532&slink=5p50ks&f1=1,34,1,8,"град София, Изгрев",1975,1-СТАЕН,Тухла,64800
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159371759189237&slink=5p50ks&f1=1,34,1,4,"град София, Изгрев",0,1-СТАЕН,ЕПК,64900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158262476117792&slink=5p50ks&f1=1,34,1,8,"град София, Изгрев",1982,1-СТАЕН,ЕПК,65000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157631815264559&slink=5p50ks&f1=1,34,1,8,"град София, Изгрев",0,1-СТАЕН,ПК,65000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158994714655556&slink=5p50ks&f1=1,34,4,4,"град София, Изток",1968,1-СТАЕН,Тухла,68500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159160510619573&slink=5p50ks&f1=1,34,5,12,"град София, Люлин 5",0,1-СТАЕН,ЕПК,34999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158504800860803&slink=5p50ks&f1=1,34,0,0,"град София, Малинова долина",0,1-СТАЕН,Тухла,35000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159497792960579&slink=5p50ks&f1=1,34,2,4,"град София, Малинова долина",2022,1-СТАЕН,Тухла,35000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159134788160596&slink=5p50ks&f1=1,34,10,14,"град София, Сухата река",1980,1-СТАЕН,ЕПК,51000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158945465083983&slink=5p50ks&f1=1,34,3,9,"град София, Център",2000,1-СТАЕН,Тухла,57000
