Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
40,2,5,"град София, Триъгълника",2023,2-СТАЕН,Тухла,64000
40,9,14,"град София, Център",1980,2-СТАЕН,ЕПК,74900
40,5,5,"град София, Надежда 2",2022,"АТЕЛИЕ, ТАВАН",Тухла,70000
41,8,12,"град София, Манастирски ливади",2022,1-СТАЕН,Тухла,102500
41,7,8,"град София, Надежда 3",1977,1-СТАЕН,Панел,64850
41,3,8,"град София, Студентски град",2023,1-СТАЕН,Тухла,74970
41,3,8,"град София, Връбница 1",1982,1-СТАЕН,Панел,68800
41,1,6,"град София, Малинова долина",2024,1-СТАЕН,Тухла,59000
41,2,3,"град София, Център",1936,2-СТАЕН,Тухла,83999
41,8,16,"град София, Банишора",1986,1-СТАЕН,ЕПК,69890
41,2,4,"град София, Витоша",2023,1-СТАЕН,Тухла,76000
41,2,5,"град София, Гоце Делчев",2021,1-СТАЕН,Тухла,80700
41,3,6,"град София, Левски",2022,1-СТАЕН,Тухла,68000
41,1,6,"град София, Лозенец",2024,1-СТАЕН,Тухла,106000
41,1,6,"град София, Люлин 1",2005,1-СТАЕН,Тухла,32800
41,5,6,"град София, Малинова долина",2023,1-СТАЕН,Тухла,61500
41,6,6,"град София, Малинова долина",2022,1-СТАЕН,Тухла,66000
41,2,4,"град София, Манастирски ливади",2024,1-СТАЕН,Тухла,84500
41,5,8,"град София, Надежда 1",1978,1-СТАЕН,Панел,80000
41,3,8,"град София, Надежда 3",1982,1-СТАЕН,Панел,68800
41,3,6,"град София, Разсадника",2023,1-СТАЕН,Тухла,63900
41,2,5,"град София, Разсадника",2024,1-СТАЕН,Тухла,64000
41,2,4,"град София, Студентски град",2010,1-СТАЕН,Тухла,59800
41,2,7,"град София, Студентски град",2022,1-СТАЕН,Тухла,60000
41,6,6,"град София, Студентски град",2022,1-СТАЕН,Тухла,70000
41,3,9,"град София, Студентски град",2020,1-СТАЕН,Тухла,72468
41,3,8,"град София, Връбница 1",1982,2-СТАЕН,Панел,68800
41,1,4,"град София, Западен парк",1972,2-СТАЕН,Тухла,75800
41,5,8,"град София, Люлин 6",1980,2-СТАЕН,Панел,72500
41,8,10,"град София, Младост 4",2023,2-СТАЕН,Тухла,75630
41,3,8,"град София, Надежда 3",1982,2-СТАЕН,Панел,68800
41,8,13,"град София, Център",2018,2-СТАЕН,Тухла,73000
42,6,6,"град София, Дървеница",2023,1-СТАЕН,Тухла,67231
42,5,7,"град София, Манастирски ливади",2022,1-СТАЕН,Тухла,75000
42,11,14,"град София, Банишора",2023,1-СТАЕН,Тухла,48000
42,5,8,"град София, Дружба 2",1983,1-СТАЕН,Панел,74000
42,8,10,"град София, Лагера",2010,1-СТАЕН,Тухла,79000
42,8,8,"град София, Люлин 5",1977,1-СТАЕН,Панел,64000
42,8,8,"град София, Люлин 5",1979,1-СТАЕН,Панел,83000
42,6,8,"град София, Надежда 1",1976,1-СТАЕН,Панел,67000
42,2,6,"град София, Студентски град",2023,1-СТАЕН,Тухла,67200
42,2,8,"град София, Студентски град",2024,1-СТАЕН,Тухла,70841
42,2,4,"град София, Западен парк",1960,2-СТАЕН,Тухла,88000
42,8,17,"град София, Банишора",2024,1-СТАЕН,Тухла,45190
42,8,17,"град София, Банишора",2024,1-СТАЕН,Тухла,45190
42,6,17,"град София, Военна рампа",2024,1-СТАЕН,Тухла,45190
42,1,6,"град София, Красна поляна 3",2000,1-СТАЕН,Тухла,85000
42,3,6,"град София, Лагера",2005,1-СТАЕН,Тухла,126000
42,8,8,"град София, Люлин 5",1978,1-СТАЕН,Панел,60000
42,1,6,"град София, Малинова долина",2021,1-СТАЕН,Тухла,50990
42,3,5,"град София, Малинова долина",2023,1-СТАЕН,Тухла,56000
42,2,5,"град София, Малинова долина",2021,1-СТАЕН,Тухла,60900
42,4,6,"град София, Малинова долина",2023,1-СТАЕН,Тухла,63000
42,3,4,"град София, Малинова долина",2023,1-СТАЕН,Тухла,65800
42,2,5,"град София, Малинова долина",2023,1-СТАЕН,Тухла,93000
42,2,9,"град София, Младост 3",1987,1-СТАЕН,Панел,83000
42,6,17,"град София, Надежда 1",2024,1-СТАЕН,Тухла,45190
42,6,6,"град София, Надежда 2",2022,1-СТАЕН,Тухла,61950
42,5,8,"град София, Надежда 3",1975,1-СТАЕН,Панел,84990
42,1,5,"град София, Обеля 1",2021,1-СТАЕН,Тухла,86000
42,3,8,"град София, Овча купел 1",1990,1-СТАЕН,Панел,82499
