Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
41,1,2,"град София, Факултета",1960,2-СТАЕН,Тухла,28000
41,4,6,"град София, Зона Б-18",2018,1-СТАЕН,Тухла,44900
41,2,7,"град София, Зона Б-18",2020,1-СТАЕН,Тухла,45000
41,11,15,"град София, Красна поляна 2",1990,1-СТАЕН,ЕПК,43000
41,14,14,"град София, Красна поляна 2",1981,1-СТАЕН,ЕПК,47500
41,4,7,"град София, Кръстова вада",2017,1-СТАЕН,Тухла,58391
41,5,9,"град София, Левски Г",1990,1-СТАЕН,Панел,49999
41,5,9,"град София, Левски Г",1990,1-СТАЕН,Панел,50000
41,3,7,"град София, Люлин 2",2020,1-СТАЕН,Тухла,28045
41,2,7,"град София, Люлин 2",2020,1-СТАЕН,Тухла,28045
41,8,10,"град София, Люлин 2",2021,1-СТАЕН,Тухла,28045
42,2,8,"град София, Дървеница",1991,2-СТАЕН,Панел,61800
42,3,8,"град София, Слатина",1985,1-СТАЕН,Панел,57499
42,3,6,"град София, Студентски град",2019,1-СТАЕН,Тухла,31500
42,5,17,"град София, Студентски град",2018,1-СТАЕН,Тухла,41499
42,12,14,"град София, Студентски град",2018,1-СТАЕН,Тухла,50000
42,17,17,"град София, Студентски град",2018,1-СТАЕН,Тухла,52000
42,9,14,"град София, Студентски град",2018,1-СТАЕН,Тухла,67000
42,2,5,"град София, Студентски град",2017,1-СТАЕН,Тухла,71500
42,6,6,"град София, Хаджи Димитър",1978,1-СТАЕН,ЕПК,42000
42,6,6,"град София, Хаджи Димитър",1978,1-СТАЕН,Панел,42000
42,5,6,"град София, Център",2018,1-СТАЕН,Тухла,42420
42,5,6,"град София, Център",2019,1-СТАЕН,Тухла,42420
42,9,12,"град София, Център",2011,1-СТАЕН,Тухла,62000
42,2,8,"град София, Красна поляна 1",1976,2-СТАЕН,Панел,46000
42,2,9,"град София, Младост 3",1984,2-СТАЕН,Панел,54999
42,2,9,"град София, Младост 3",1987,2-СТАЕН,Панел,54999
42,1,5,"град София, Подуяне",1973,2-СТАЕН,Тухла,57890
42,1,5,"град София, Редута",1973,2-СТАЕН,Тухла,58000
42,1,6,"град София, Редута",1973,2-СТАЕН,Тухла,60000
42,2,7,"град София, Света Троица",1980,2-СТАЕН,Панел,39000
