Url,Size,YardSize,Floor,TotalFloors,District,Year,Type,BuildingType,Price
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159170105121056&slink=60chlx&f1=1,75,420,0,0,"град София, с. Долни Пасарел",1980,КЪЩА,Тухла,84000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159764486287437&slink=60chm3&f1=1,76,395,0,0,"град София, гр. Нови Искър",2020,КЪЩА,ЕПК,56640
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j156472981814483&slink=60chm3&f1=1,76,621,0,0,"град София, Драгалевци",0,КЪЩА,Тухла,86500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j156499555664313&slink=60chm3&f1=1,76,140,0,0,"град София, Орландовци",1980,КЪЩА,Тухла,100000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j155445414764143&slink=60chm3&f1=1,76,140,0,0,"град София, Орландовци",2014,КЪЩА,Тухла,100000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158824695168265&slink=60chm3&f1=1,76,425,1,1,"град София, Република",1958,КЪЩА,Тухла,78000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160181351664460&slink=60chm3&f1=1,76,980,0,0,"град София, с. Панчарево",1978,КЪЩА,Тухла,142000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159310318309827&slink=60chm9&f1=1,77,329,0,0,"град София, с. Владая",0,КЪЩА,Тухла,85000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157694635070213&slink=60chma&f1=1,78,391,0,0,"град София, Орландовци",0,КЪЩА,Тухла,71600
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160348678719645&slink=60chmc&f1=1,80,20,0,0,"град София, Драгалевци",2020,КЪЩА,Тухла,80000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157199817026980&slink=60chmc&f1=1,80,650,0,0,"град София, в.з.Симеоново - Драгалевци",1980,КЪЩА,Тухла,235000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159807362278028&slink=60chmc&f1=1,80,650,2,2,"град София, гр. Банкя",1980,КЪЩА,Тухла,129000
